"Año";"Periodo";"Accidentes de tráfico"
"2002";"Año";"912"
"2003";"Año";"919"
"2004";"Año";"900"
"2005";"Año";"790"
"2006";"Año";"737"
"2007";"Año";"741"
"2008";"Año";"634"
"2009";"Año";"584"
"2010";"Año";"550"
"2011";"Año";"457"
"2012";"Año";"461"
"2013";"Año";"450"
"2014";"Año";"441"
"2015";"Año";"441"
"2016";"Año";"519"
"2017";"Año";"509"
"2018";"Año";"489"
"2019";"Año";"519"
;;
;;
"Métrica":"Accidentes de tráfico"
"Fuente":"DGT"
"Clasificación":""
"Unidad":"Fallecidas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/cifra-muertos-accidentes-ciudades-retrocedio-2016-niveles-similares-2010/a3c40b94-4992-462c-adde-031101817f5a/espana/106"
"Titulo":"Número de muertos en accidentes de tráfico en vías urbanas"
"Subtitulo":"Un total de 519 personas fallecieron en accidentes en ciudad en 2019﻿ "
